time,n_sat,x,y,z,dt_u,rms
2026-04-26T12:16:00,9,3512787.8927455433,2068953.7856757024,4888925.319523909,-1.456745940184467e-07,33.86199885131372
2026-04-26T12:16:30,9,3512787.9769715783,2068954.1596435988,4888926.218248854,-1.445907478220045e-07,33.93003703581205
2026-04-26T12:17:00,9,3512788.4287100215,2068953.8834103628,4888927.439176221,-1.428870097144605e-07,34.10625801857049
2026-04-26T12:17:30,9,3512789.0209618984,2068954.0093989056,4888927.496559722,-1.4325623973924164e-07,33.98901887471463
2026-04-26T12:18:00,10,3512847.9270791053,2068964.1820267278,4888967.08669771,2.184949392826307e-08,57.3226457254281
2026-04-26T12:18:30,10,3512847.5586201157,2068964.277511543,4888967.052394789,2.080082435160514e-08,56.95380635538599
2026-04-26T12:19:00,10,3512846.304494372,2068963.8699712618,4888966.434623779,1.7267870599196908e-08,56.587026422713976
2026-04-26T12:19:30,10,3512845.752933566,2068964.3594530006,4888966.181775895,1.6409743441792692e-08,56.27899992656255
2026-04-26T12:20:00,10,3512845.6307155564,2068963.5874548992,4888965.473494389,1.3448199064710013e-08,55.73879503823525
2026-04-26T12:20:30,10,3512845.293162356,2068964.390178242,4888966.534311213,1.490457190315962e-08,56.001842783805145
2026-04-26T12:21:00,10,3512844.538717466,2068963.6309302275,4888965.593113672,1.092769710241354e-08,55.504772044219614
2026-04-26T12:21:30,10,3512843.972630998,2068963.3959151073,4888965.47099863,9.01489046131004e-09,55.174827339848996
2026-04-26T12:22:00,10,3512843.929039199,2068963.068920601,4888964.683538721,7.697871717222628e-09,54.59376601162875
2026-04-26T12:22:30,10,3512843.596526911,2068963.4090839447,4888964.707325332,6.732844165447346e-09,54.39026795002362
2026-04-26T12:23:00,10,3512843.077030641,2068963.2161944036,4888963.712644739,3.7506891831918225e-09,54.32159404506664
2026-04-26T12:23:30,11,3512851.102454152,2068989.4669540238,4888982.645704347,7.017883678520655e-08,53.68043285279116
