t,prn,x,y,z,vx,vy,vz,clock
88800.0,31,-13400860.57376125,-8270411.468209542,-21643582.82379188,899.6556623279336,-2532.5550980216226,446.4080675148116,-0.00015286113966977288
89400.0,31,-12890711.797780741,-9788195.753782976,-21295102.01116368,800.4058696598039,-2523.0428814097677,714.604411142617,-0.0001528582256102011
90000.0,31,-12440935.016340954,-11293347.38866787,-20787044.69948427,698.8715022853987,-2490.3901386118487,978.0059739501669,-0.00015285545152731727
90600.0,31,-12052121.53874758,-12771963.56191162,-20122875.72272134,597.6478331875318,-2434.589733309306,1234.6509991763703,-0.00015285282780382997
91200.0,31,-11723308.110908939,-14210242.28992179,-19307228.23467084,499.314007590704,-2355.9866373308705,1482.6078894250575,-0.00015285036375883165
91800.0,31,-11451999.9746106,-15594693.298716502,-18345881.690559477,406.3884948782886,-2255.2759738230925,1719.9888188149837,-0.00015284806757096667
92400.0,31,-11234220.559115382,-16912346.075418867,-17245731.58149052,321.2849524782953,-2133.495410660339,1944.963664203778,-0.00015284594620784336
93000.0,31,-11064587.347505199,-18150951.694306586,-16014750.742089307,246.26921643812693,-1992.0118868695627,2155.7741781364407,-0.00015284400536243181
93600.0,31,-10936413.027471647,-19299175.035393365,-14661942.103337394,183.41814678330275,-1832.5027417687484,2350.7483055175912,-0.0001528422493972061
94200.0,31,-10841830.598207736,-20346774.07983698,-13197282.82751254,134.58105828314478,-1656.9314091689487,2528.3145247987923,-0.000152840681296796
94800.0,31,-10771940.668611145,-21284763.08977861,-11631659.840578677,101.3444573511199,-1467.5179362392255,2687.0160733745192,-0.0001528393026299065
95400.0,31,-10716978.755093994,-22105556.663101453,-9976796.86900509,85.00078202156374,-1266.7046869519904,2825.5248966549975,-0.00015283811352123977
96000.0,31,-10666499.97871987,-22803091.89756397,-8245173.192035457,86.52180300759778,-1057.1176914779046,2942.6551417652654,-0.0001528371126341146
96600.0,31,-10609578.180667976,-23372926.204051215,-6449934.435472868,106.53728880901781,-841.5242031498425,3037.3760008968547,-0.0001528362971644182
97200.0,31,-10535016.132182702,-23812308.67394838,-4604795.857124125,145.31946617304288,-622.7871209745296,3108.8236969155846,-0.00015283566284644688
97800.0,31,-10431563.220405282,-24120223.32777689,-2723938.70457409,202.77371890565792,-403.8170251529474,3156.3123957919115,-0.000152835203971091
98400.0,31,-10288136.754851568,-24297403.046197772,-821900.3598191319,278.43586368612387,-187.52265249516552,3179.343827585598,-0.0001528349134167012
99000.0,31,-10094042.870263588,-24346313.503207956,1086540.8811208874,371.4762224302674,23.23929527451287,3177.6154007845153,-0.00015283478269283198
99600.0,31,-9839192.908566773,-24271106.975736994,2986485.416151791,480.7105788757708,225.7140677157863,3151.026604300952,-0.00015283480199690342
100200.0,31,-9514311.152686689,-24077546.48286141,4863035.234264532,604.617965142035,417.29753360354346,3099.6835076846787,-0.00015283496028364906
100800.0,31,-9111129.863069013,-23772901.298751824,6701418.895403606,741.3650754487508,595.5826196409012,3023.9011931799237,-0.00015283524534703496
101400.0,31,-8622567.736659717,-23365815.472118113,8487117.295283694,888.836952958369,758.4025547557334,2924.2039829047544,-0.0001528356439141444
102000.0,31,-8042888.167944461,-22866151.556231797,10205988.846892746,1044.6734463048526,903.8699956777634,2801.323360131274,-0.00015283614175032824
102600.0,31,-7367834.039693399,-22284812.292052742,11844392.66400589,1206.3107895456267,1030.4111758601912,2656.19352455371,-0.00015283672377472968
103200.0,31,-6594736.201616449,-21633543.47719708,13389308.312384436,1371.027527878227,1136.7943110099973,2489.9445664207865,-0.00015283737418510883
103800.0,31,-5722593.29963194,-20924721.680857122,14828450.703250416,1535.9938962091635,1222.1516088664189,2303.8932921032033,-0.0001528380765907208
104400.0,31,-4752121.185577708,-20171130.816129982,16150378.741986716,1698.3236628847408,1285.9943657585,2099.5317824969115,-0.00015283881415185013
105000.0,31,-3685770.753277961,-19385731.84533127,17344596.412640534,1855.1273803148595,1328.2207842848409,1878.513813939812,-0.00015283956972447465
