t,prn,x,y,z,vx,vy,vz,clock
440384.0,31,4541385.555479839,-22366428.61939808,-13608014.183236219,2838.0763237963656,-883.8469069363778,2481.571310171938,-0.0001534562518530267
440984.0,31,6224648.364411703,-22810564.646745898,-12068871.522433467,2769.302952101816,-595.3062168230781,2645.5694575809193,-0.0001534548223228966
441584.0,31,7860191.5407756865,-23079849.06637345,-10437204.26578873,2679.0772511790306,-301.37469664674427,2789.723998951209,-0.00015345358245870947
442184.0,31,9435306.29613227,-23171713.362426415,-8725293.883873729,2567.9743215174826,-4.2917480480405175,2912.8088609341844,-0.00015345253131667744
442784.0,31,10937679.76374542,-23084948.84259309,-6946113.367012615,2436.7397431073873,293.65312368362834,3013.7496009314523,-0.00015345166648606334
443384.0,31,12355496.961582555,-22819731.582313526,-5113232.239094553,2286.289890170526,590.1422137799661,3091.629381821799,-0.00015345094341919977
443984.0,31,13677540.204586575,-22377636.50327143,-3240715.695680303,2117.697226959168,882.8318821242465,3145.725309273144,-0.00015345043790940838
444584.0,31,14893286.72376672,-21761639.548083406,-1343015.1098203564,1932.2007605101787,1169.3968890194399,3175.4806642905933,-0.0001534501027718894
445184.0,31,15993001.415683867,-20976108.096010443,565145.1361375306,1731.1875456242049,1447.5345217217714,3180.5387027497472,-0.00015344992987993445
445784.0,31,16967824.787764862,-20026778.712387126,2468886.3060714686,1516.1860625521726,1714.9895469750688,3160.7432036945625,-0.00015344990977818947
446384.0,31,17809854.667449787,-18920722.263526354,4353297.429147325,1288.8550319276567,1969.575349396383,3116.1435033439543,-0.00015345003174868201
446984.0,31,18512220.633862637,-17666296.29777848,6203559.839841815,1050.9704837882896,2209.1950201663503,3046.997503614383,-0.00015345028388942327
447584.0,31,19069150.14365241,-16273084.819227789,8005072.86419351,804.4111745993183,2431.862095949208,2953.7725099354684,-0.00015345065320513036
448184.0,31,19476025.394149594,-14751825.76822836,9743579.301079106,551.1424855695805,2635.720635289032,2837.143787238492,-0.00015345112570942204
448784.0,31,19729430.06227907,-13114326.715249306,11405289.294075426,293.1989739502569,2819.064314861391,2697.99076255249,-0.0001534516865376473
449384.0,31,19827185.175457504,-11373369.46615113,12977001.162323967,32.66578499518323,2980.3542315953187,2537.3908466000134,-0.00015345232006931997
449984.0,31,19768373.508790214,-9542604.462643646,14446217.759824838,-228.34083558389398,3118.2351091852784,2356.610893834674,-0.00015345301005895897
450584.0,31,19553352.054252423,-7636435.90816725,15801256.955233932,-487.69235928606736,3231.5514392668574,2157.0969034628642,-0.00015345370021264168
451184.0,31,19183752.25219114,-5669899.708049893,17031354.872023802,-743.2735472031422,3319.3524373154432,1940.4589131673272,-0.00015345445271090327
451784.0,31,18662468.09718354,-3658533.121764386,18126760.883662645,-992.9954551305276,3380.912805650327,1708.459055326452,-0.0001534552105810678
452384.0,31,17993631.714574467,-1618241.195224882,19078822.59220237,-1234.8205809129447,3415.7328048267295,1462.9927113072613,-0.00015345595650291844
452984.0,31,17182577.171271574,434841.3983792681,19880060.513988785,-1466.7813477728741,3423.5448140606754,1206.070615396877,-0.00015345667325984973
453584.0,31,16235792.709410649,2484490.281159479,20524231.24384593,-1686.9989293801846,3404.315370815496,939.7991765050378,-0.00015345734388787146
454184.0,31,15160862.057626152,4514531.655016239,21006378.510444008,-1893.7009438006617,3358.24450529159,666.359814615222,-0.00015345795182170012
454784.0,31,13966395.57906023,6508981.345966028,21322871.640586473,-2085.2377688238153,3285.7624116797224,387.98762839962296,-0.00015345848103628175
455384.0,31,12661952.15042483,8452181.049976801,21471431.140593726,-2260.0972632793164,3187.523549979054,106.94971752795436,-0.0001534589161821809
455984.0,31,11257952.780808335,10328930.294666274,21451141.294057984,-2416.9177159215155,3064.398320269962,-174.47651844680482,-0.00015345924271338953
456584.0,31,9765587.070320353,12124612.729942558,21262449.86208629,-2554.4988838798763,2917.4624940580834,-454.02479281327396,-0.00015345944700625476
457184.0,31,8196713.675768426,13825315.481820162,20907155.15018653,-2671.811025038099,2747.984623441163,-729.4607620434124,-0.0001534595164683881
457784.0,31,6563755.92021186,15417940.527532035,20388380.932912633,-2768.002743154718,2557.4126779423486,-998.6035885667291,-0.00015345939911972666
458384.0,31,4879594.39962052,16890306.51315415,19710539.539787944,-2842.402432152462,2347.3542074719303,-1259.3383523985883,-0.0001534591658842074
458984.0,31,3157455.74809138,18231241.99920255,18879284.240292523,-2894.5262977908283,2119.565167957019,-1509.6435727457615,-0.00015345876715112483
459584.0,31,1410802.1480110008,19430666.67507938,17901451.51839536,-2924.0758147817687,1875.927978640926,-1747.6005726458766,-0.00015345819531127625
460184.0,31,-346780.2464975007,20479662.51304344,16784994.067698162,-2930.937583352644,1618.4338312271539,-1971.4097408410018,-0.0001534574441541821
460784.0,31,-2101691.551159546,21370533.439829074,15538905.595422376,-2915.1805744237936,1349.1636430661192,-2179.4033862695355,-0.00015345650890346844
461384.0,31,-3840426.292433651,22096853.572720483,14173138.416225426,-2877.0517602054406,1070.2688905271461,-2370.056858243024,-0.00015345538623948138
461984.0,31,-5549678.528192463,22653504.00871661,12698514.87162325,-2816.9702894208967,783.9525586385901,-2541.9979151074303,-0.00015345407430942295
462584.0,31,-7216443.12414277,23036698.288114082,11126633.613614311,-2735.5203763014106,492.45041832015136,-2694.014356273145,-0.00015345257272542445
463184.0,31,-8828112.461964041,23243996.771836992,9469771.77635251,-2633.4430771416633,198.0128151789736,-2825.0599607386393,-0.00015345088255108103
463784.0,31,-10372567.956913508,23274310.273925416,7740784.029631319,-2511.627127976162,-97.11287497891954,-2934.2587991633013,-0.00015344900627705676
464384.0,31,-11838265.863547673,23127893.37612213,5952999.464947471,-2371.099012381721,-390.6989980097435,-3020.908005906991,-0.00015344694778643655
464984.0,31,-13214316.548104007,22806327.98988977,4120117.72738818,-2213.0095021567763,-680.5487150262817,-3084.4854201691996,-0.00015344467321519768
465584.0,31,-14490559.23730273,22312497.28524909,2256102.1970161693,-2038.6344334283874,-964.5298797826957,-3124.6243276020346,-0.00015344226748716555
466184.0,31,-15657626.368324568,21650551.655913234,375078.29169521056,-1849.3455355082149,-1240.5606348329948,-3141.150224734726,-0.0001534396990532039
466784.0,31,-16707004.445730938,20825865.871870633,-1508771.6472264451,-1646.6109278310034,-1506.6410371362513,-3134.0531416822146,-0.00015343697683886922
467384.0,31,-17631086.410282172,19844989.15575492,-3381309.7641545376,-1431.9804572648654,-1760.8602432447196,-3103.4907395236296,-0.00015343411086116322
