prn,epoch,x_km,y_km,z_km,vx,vy,vz
R05,2020-01-02 06:45,-15382.5171,20152.5684,2703.5698,-0.104157,0.396646,-3.555236
R05,2020-01-02 07:15,-15064.9023,20229.8940,-3717.7275,0.423199,-0.334321,-3.533134
R05,2020-01-02 07:45,-13998.0952,18895.5425,-9851.1099,0.720156,-1.153797,-3.237416
R05,2020-01-02 08:15,-12627.3677,16091.6675,-15221.6572,0.760293,-1.947560,-2.691076
R05,2020-01-02 08:45,-11404.4126,11968.2495,-19413.7690,0.562902,-2.602102,-1.936589
R05,2020-01-02 09:15,-10707.3608,6864.9194,-22103.4102,0.189166,-3.023117,-1.032542
R05,2020-01-02 09:45,-10774.1890,1261.9077,-23083.1079,-0.268682,-3.150834,-0.049010
R05,2020-01-02 10:15,-11660.6509,-4291.7983,-22277.8125,-0.703374,-2.969661,0.937907
R05,2020-01-02 10:45,-13229.7212,-9261.2822,-19750.4668,-1.011104,-2.510581,1.851974
R05,2020-01-02 11:15,-15174.2476,-13205.9546,-15696.9507,-1.109418,-1.845945,2.622672
R05,2020-01-02 11:45,-17069.0068,-15844.1611,-10430.8247,-0.951532,-1.077538,3.190601
R05,2020-01-02 12:15,-18443.4868,-17091.6743,-4359.0747,-0.534719,-0.319899,3.512025
R05,2020-01-02 12:45,-18863.2822,-17067.8999,2049.3022,0.098638,0.318370,3.562219
R05,2020-01-02 13:15,-18006.5591,-16068.9590,8299.4531,0.867507,0.752209,3.337362
R05,2020-01-02 13:45,-15722.8369,-14512.2490,13908.7930,1.665121,0.933731,2.854819
R05,2020-01-02 14:15,-12064.2510,-12861.8120,18444.1636,2.376204,0.859630,2.151786
R05,2020-01-02 14:45,-7284.0176,-11546.9702,21555.1714,2.895689,0.571145,1.282434
R05,2020-01-02 15:15,-1802.2051,-10887.7910,23001.1758,3.145811,0.146625,0.313759
R05,2020-01-02 15:45,3855.6875,-11039.7632,22669.8926,3.088814,-0.312093,-0.679533
R05,2020-01-02 16:15,9137.4072,-11966.9028,20586.1919,2.733149,-0.697201,-1.620730
R05,2020-01-02 16:45,13547.0928,-13447.7988,16910.4106,2.132166,-0.913487,-2.437002
R05,2020-01-02 17:15,16719.3271,-15113.6675,11926.2168,1.375459,-0.894845,-3.065041
R05,2020-01-02 17:45,18471.9790,-16512.1665,6018.8740,0.574264,-0.615966,-3.456016
R05,2020-01-02 18:15,18829.1289,-17186.3574,-354.4995,-0.156696,-0.097234,-3.579457
R05,2020-01-02 18:45,18010.3486,-16755.6021,-6700.4155,-0.717930,0.598058,-3.425699
R05,2020-01-02 19:15,16388.1675,-14984.7603,-12527.4375,-1.041290,1.373744,-3.006674
R05,2020-01-02 19:45,14420.9497,-11829.9702,-17384.4658,-1.100801,2.116397,-2.354967
R05,2020-01-02 20:15,12572.5210,-7453.2246,-20895.8105,-0.916344,2.713897,-1.521222
R05,2020-01-02 20:45,11232.0767,-2203.1958,-22790.2744,-0.549664,3.073827,-0.570128
R05,2020-01-02 21:15,10647.7998,3434.5830,-22921.9946,-0.093369,3.138649,0.424654
R05,2020-01-02 21:45,10885.2217,8909.9946,-21281.5059,0.345179,2.895142,1.386218
R05,2020-01-02 22:15,11817.1904,13691.2261,-17996.2500,0.662373,2.376587,2.240333
R05,2020-01-02 22:45,13147.0068,17344.7139,-13320.5669,0.776190,1.657365,2.921137
R05,2020-01-02 23:15,14460.8110,19599.1226,-7615.9658,0.640399,0.840865,3.376182
R05,2020-01-02 23:45,15300.4341,20382.9634,-1323.1919,0.252785,0.042703,3.570440
R06,2020-01-02 00:15,10012.7012,-5466.1987,-22833.6265,2.146172,2.265093,0.396604
R06,2020-01-02 00:45,14035.1382,-1785.7686,-21248.2104,2.280174,1.797759,1.353510
R06,2020-01-02 01:15,18055.2666,940.8354,-18023.8936,2.138881,1.222725,2.205848
R06,2020-01-02 01:45,21565.5806,2616.4443,-13409.4907,1.716566,0.648209,2.888071
R06,2020-01-02 02:15,24088.9844,3337.3706,-7760.7749,1.052384,0.177926,3.347640
R06,2020-01-02 02:45,25255.4585,3369.3931,-1513.2930,0.224610,-0.106204,3.549032
R06,2020-01-02 03:15,24862.3301,3095.4932,4850.9629,-0.661569,-0.157709,3.476505
R06,2020-01-02 03:45,22908.1880,2944.0879,10840.5479,-1.490733,0.026711,3.135382
R06,2020-01-02 04:15,19594.7520,3309.7383,15992.4292,-2.155659,0.406684,2.551714
R06,2020-01-02 04:45,15296.2744,4479.6338,19907.7939,-2.574460,0.904987,1.770357
R06,2020-01-02 05:15,10501.4087,6578.2236,22283.0327,-2.703608,1.420616,0.851559
R06,2020-01-02 05:45,5737.0557,9539.4160,22933.4463,-2.544652,1.845917,-0.133658
R06,2020-01-02 06:15,1486.7012,13111.1924,21807.8159,-2.143536,2.084958,-1.108973
R06,2020-01-02 06:45,-1883.3096,16892.0908,18992.6299,-1.582577,2.070075,-1.998697
R06,2020-01-02 07:15,-4177.3906,20393.6943,14705.5820,-0.966469,1.773794,-2.733698
R06,2020-01-02 07:45,-5395.4189,23118.8345,9278.7651,-0.404595,1.214125,-3.256842
R06,2020-01-02 08:15,-5724.4907,24642.5381,3132.8315,0.007363,0.452259,-3.527517
R06,2020-01-02 08:45,-5499.2671,24682.1826,-3255.8599,0.203444,-0.416950,-3.524849
R06,2020-01-02 09:15,-5137.7236,23145.1157,-9392.4702,0.158321,-1.280153,-3.249305
R06,2020-01-02 09:45,-5063.2832,20145.7622,-14802.2598,-0.108694,-2.023751,-2.722586
R06,2020-01-02 10:15,-5626.5493,15989.4053,-19067.4194,-0.537214,-2.552155,-1.985809
R06,2020-01-02 10:45,-7039.8691,11125.4165,-21859.2358,-1.036249,-2.802996,-1.096192
R06,2020-01-02 11:15,-9335.6851,6077.7671,-22963.1631,-1.499787,-2.756809,-0.122538
R06,2020-01-02 11:45,-12355.6040,1364.3115,-22294.9775,-1.824861,-2.439664,0.860088
R06,2020-01-02 12:15,-15771.9761,-2581.9272,-19906.9287,-1.929104,-1.918360,1.776082
R06,2020-01-02 12:45,-19138.4453,-5476.7080,-15983.5327,-1.764933,-1.289050,2.555015
R06,2020-01-02 13:15,-21961.1919,-7223.4614,-10827.3760,-1.328045,-0.661165,3.136957
R06,2020-01-02 13:45,-23779.2168,-7920.9360,-4835.9834,-0.658824,-0.139251,3.477031
R06,2020-01-02 14:15,-24240.4985,-7838.5059,1528.5728,0.163598,0.194306,3.548862
R06,2020-01-02 14:45,-23161.4634,-7363.3301,7775.0747,1.033692,0.292839,3.346663
R06,2020-01-02 15:15,-20559.8774,-6928.2017,13420.9258,1.836301,0.152995,2.885752
R06,2020-01-02 15:45,-16655.6021,-6932.1328,18029.4014,2.465087,-0.184910,2.201460
R06,2020-01-02 16:15,-11838.9155,-7666.9961,21243.4888,2.839608,-0.643879,1.346463
R06,2020-01-02 16:45,-6611.4971,-9262.5620,22813.6846,2.918198,-1.123406,0.386771
R06,2020-01-02 17:15,-1509.6821,-11659.2598,22617.5532,2.704501,-1.516676,-0.603354
R06,2020-01-02 17:45,2977.4258,-14613.3955,20669.4805,2.246569,-1.728914,-1.547144
R06,2020-01-02 18:15,6481.5244,-17734.1436,17119.7988,1.628651,-1.693843,-2.371305
R06,2020-01-02 18:45,8808.2544,-20546.3076,12243.2832,0.957020,-1.385444,-3.011778
R06,2020-01-02 19:15,9961.1660,-22568.4600,6417.8423,0.342191,-0.823032,-3.418792
R06,2020-01-02 19:45,10132.6475,-23393.4243,95.0488,-0.119487,-0.068746,-3.560811
R06,2020-01-02 20:15,9663.4819,-22757.6050,-6235.1504,-0.361776,0.782168,-3.427011
R06,2020-01-02 20:45,8978.0078,-20587.5020,-12082.6963,-0.359330,1.616624,-3.028079
R06,2020-01-02 21:15,8505.9497,-17015.6143,-16995.5444,-0.131518,2.321952,-2.395270
R06,2020-01-02 21:45,8604.1729,-12363.0957,-20594.6206,0.261310,2.804058,-1.577855
R06,2020-01-02 22:15,9491.5371,-7092.0986,-22602.8823,0.728423,3.002478,-0.639180
R06,2020-01-02 22:45,11207.7202,-1735.7310,-22866.3320,1.164357,2.899858,0.348272
R06,2020-01-02 23:15,13602.8086,3182.8467,-21365.5078,1.466976,2.524383,1.308456
R06,2020-01-02 23:45,16359.3506,7228.9907,-18216.7100,1.554975,1.944804,2.167533
R07,2020-01-02 00:15,-3880.0698,-17326.2939,-18267.1514,1.608834,1.927748,-2.170654
R07,2020-01-02 00:45,-435.5068,-13793.4600,-21414.7905,2.200048,1.951684,-1.303973
R07,2020-01-02 01:15,3942.9414,-10453.4248,-22900.8408,2.630091,1.721686,-0.336530
R07,2020-01-02 01:45,8884.9297,-7707.7163,-22610.9971,2.814901,1.305453,0.656354
R07,2020-01-02 02:15,13900.1406,-5807.9263,-20569.0508,2.707164,0.799407,1.597573
R07,2020-01-02 02:45,18452.8071,-4818.5513,-16934.6362,2.304459,0.311970,2.414287
R07,2020-01-02 03:15,22044.3403,-4612.0859,-11990.3843,1.649991,-0.055032,3.043554
R07,2020-01-02 03:45,24290.4209,-4896.9053,-6119.6113,0.825809,-0.223694,3.437155
R07,2020-01-02 04:15,24979.9106,-5273.0103,223.6196,-0.060325,-0.153232,3.565191
R07,2020-01-02 04:45,24106.0103,-5306.1211,6549.6753,-0.892207,0.153111,3.418267
R07,2020-01-02 05:15,21864.7231,-4607.6265,12371.0103,-1.563741,0.648541,3.008065
R07,2020-01-02 05:45,18621.0825,-2907.0371,17239.4404,-1.995711,1.250444,2.366340
R07,2020-01-02 06:15,14848.8345,-104.9038,20780.2422,-2.148096,1.854056,1.542431
R07,2020-01-02 06:45,11053.5625,3702.5776,22720.6035,-2.025921,2.349813,0.599517
R07,2020-01-02 07:15,7691.8154,8231.4233,22910.3960,-1.677777,2.641576,-0.390119
R07,2020-01-02 07:45,5099.4180,13049.0659,21333.7808,-1.187252,2.662760,-1.350482
R07,2020-01-02 08:15,3440.6099,17638.7246,18110.7812,-0.658664,2.387780,-2.207567
R07,2020-01-02 08:45,2686.3301,21478.6494,13488.5918,-0.199391,1.836893,-2.894992
R07,2020-01-02 09:15,2625.2437,24123.3965,7823.1108,0.098335,1.073570,-3.359159
R07,2020-01-02 09:45,2905.7549,25273.8281,1551.8896,0.173169,0.194738,-3.563558
R07,2020-01-02 10:15,3102.0791,24824.1597,-4839.5591,0.005248,-0.684600,-3.491791
R07,2020-01-02 10:45,2793.2983,22878.1025,-10855.5337,-0.380194,-1.449858,-3.149038
R07,2020-01-02 11:15,1642.0239,19731.2246,-16028.9937,-0.916881,-2.005361,-2.561765
R07,2020-01-02 11:45,-540.7656,15822.3921,-19958.2783,-1.508590,-2.289712,-1.775670
R07,2020-01-02 12:15,-3755.8569,11662.3994,-22338.6685,-2.045397,-2.285405,-0.852041
R07,2020-01-02 12:45,-7807.7983,7751.7817,-22986.1938,-2.422322,-2.021068,0.137144
R07,2020-01-02 13:15,-12330.2349,4501.5859,-21851.7974,-2.557200,-1.565983,1.114956
R07,2020-01-02 13:45,-16840.4072,2170.2822,-19024.8096,-2.404752,-1.017897,2.005576
R07,2020-01-02 14:15,-20813.7510,827.1885,-14725.5659,-1.964530,-0.486189,2.740209
R07,2020-01-02 14:45,-23766.2061,348.2329,-9287.8716,-1.281432,-0.073273,3.262380
R07,2020-01-02 15:15,-25330.6348,444.4604,-3132.7983,-0.438737,0.142667,3.532212
R07,2020-01-02 15:45,-25314.7866,718.2183,3264.0718,0.455145,0.120744,3.529385
R07,2020-01-02 16:15,-23731.3623,737.4375,9409.3584,1.283978,-0.135872,3.254547
